winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt,champion
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
true,18,3024,3074,3143,3209,3082,3009,3341,6,0,0,0,0,0,0,12,10,148020,24583,42827,0,4494,78,57,48,9,13564,12180,0,0,0,0,0,21349,3234,2,6,726,132019,15274,6734,35157,936,false,false,false,false,false,false,0,2,8,2,1,0,1,726,Udyr 
true,18,3065,3074,3143,3209,3190,3006,3341,16,1,1,1,0,0,6,5,13,215672,26017,41457,0,7377,79,87,64,23,18354,15775,0,0,0,0,1007,22470,2540,0,9,3662,190052,21956,13938,26965,554,true,false,false,false,true,false,1,3,9,3,4,3,1,1324,Udyr 
true,12,1055,3086,3006,1018,3031,0,3340,3,0,0,0,0,0,2,2,10,75583,10675,6529,748,484,114,1,0,1,8097,7230,0,0,0,0,710,9805,160,0,2,710,74266,606,3964,2518,46,false,false,false,true,false,true,0,1,4,0,1,1,1,94,Caitlyn 
true,18,3190,3074,3143,3209,3110,3284,3341,13,2,1,0,0,0,4,8,18,217470,39010,47273,0,7147,112,80,77,3,19690,16515,0,0,0,0,1164,32202,5642,2,11,2195,190984,24289,12760,33921,592,false,false,false,false,false,false,0,1,12,3,3,3,1,2151,Udyr 
true,17,2045,3157,3092,3117,3135,0,3340,7,1,0,0,0,0,4,6,17,89464,18832,25159,0,6476,37,15,4,11,12914,11040,0,0,0,0,17160,787,884,4,6,78448,10132,884,10817,13885,456,false,false,false,false,false,true,0,2,34,3,2,2,1,391,Fiddlesticks 
true,16,1031,3190,3143,3117,3207,1011,3341,3,0,0,0,0,0,3,1,14,132360,13435,28143,0,5720,51,67,60,7,12251,11090,0,0,0,0,10798,2175,462,0,7,84904,35125,12330,5298,21551,1294,false,false,false,true,false,true,0,0,7,3,1,1,1,589,Sejuani 
false,16,3024,3074,3143,3260,3209,0,3341,8,2,0,0,0,0,4,9,9,123087,15414,34978,0,4145,77,59,42,17,12632,11640,0,0,0,0,0,13131,2283,0,8,462,110167,12457,7204,23056,4717,false,false,false,false,false,false,0,1,8,0,2,2,1,515,Udyr 
false,9,1055,1001,1053,1055,1038,0,3340,0,0,0,0,0,0,0,4,2,31539,5463,11385,0,789,70,0,0,0,4217,3695,0,0,0,0,557,4905,0,0,0,1483,30056,0,3092,8120,172,false,false,false,false,false,false,0,0,0,0,0,0,1,34,Jinx 
true,17,3190,3074,3143,3209,3047,0,3341,7,0,0,0,0,0,5,2,14,149488,24559,28004,315,3429,109,38,28,10,14283,12490,0,0,0,0,0,21547,3012,0,1,693,134161,14633,5220,21132,1652,true,false,false,true,false,false,0,3,1,2,1,1,1,616,Udyr 
false,17,1054,1037,3143,3260,3110,3068,0,7,2,0,0,0,0,2,9,19,106907,24668,38320,0,4864,132,17,17,0,12623,11685,0,0,0,0,18046,4497,2124,0,3,76143,28018,2746,8787,28085,1448,false,false,false,false,false,false,0,0,3,1,2,2,1,854,Shyvana 
true,17,0,3074,3143,3209,3047,3024,3341,7,1,0,0,0,0,2,7,12,162140,17980,33935,490,5483,102,64,43,21,14102,11605,0,0,0,0,0,16163,1816,0,12,1016,143973,17150,8648,23699,1588,false,false,false,false,false,false,0,1,12,0,2,3,1,789,Udyr 
false,18,2044,3074,3143,3280,3105,3209,3341,10,1,0,0,0,0,3,8,10,177275,18319,37261,0,5660,141,56,51,5,13662,12725,0,0,0,0,0,16682,1637,1,8,554,160474,16247,14218,22540,502,false,false,false,false,false,false,0,1,6,1,2,3,1,875,Udyr 
false,12,3209,3082,1001,1011,0,0,3341,1,0,0,0,0,0,0,6,2,85205,2563,18279,0,3029,42,58,51,7,6130,4855,0,0,0,0,0,2259,304,0,1,496,75376,9332,3212,14149,916,false,false,false,false,false,false,0,0,1,1,1,0,1,400,Udyr 
false,13,1031,3154,2044,3047,1057,3156,3340,5,0,0,0,0,0,2,9,7,95032,10692,23236,0,1292,82,39,35,4,9402,8050,0,0,0,0,0,10650,42,0,3,7342,82662,5028,7250,15306,680,false,false,false,false,false,false,0,1,2,1,1,1,1,234,Vi 
true,16,3067,3074,3143,3209,3006,0,3341,11,1,0,0,0,0,9,5,2,135075,22415,25120,0,5138,53,72,57,15,11863,10725,0,0,0,0,0,19809,2605,1,3,785,120056,14232,3984,19726,1409,false,false,false,false,false,false,1,4,4,0,2,1,1,901,Udyr 
true,12,3154,2044,3047,3211,3134,0,3340,3,0,0,0,0,0,3,0,5,70322,6394,10206,0,1628,32,45,40,5,6690,6132,0,0,0,0,916,5116,362,2,2,17914,45380,7028,3243,6348,615,false,false,false,false,false,false,0,0,7,0,1,1,1,616,Jarvan IV 
true,17,3207,3068,3001,3111,1057,3067,3340,3,0,0,0,0,0,2,5,28,121653,16399,33620,0,5615,42,63,54,9,13021,11140,0,0,0,0,12988,3142,268,2,4,81259,27632,12762,4857,27079,1683,false,false,false,false,false,true,0,2,11,1,1,1,1,497,Sejuani 
false,17,3071,0,3143,1057,3156,3047,3340,5,0,0,0,0,0,4,3,9,129084,15906,19952,410,1178,211,5,5,0,13212,12900,0,0,0,0,2215,13690,0,2,9,13841,115242,0,6797,12278,876,false,false,true,false,false,false,0,3,17,0,1,1,3,694,Jarvan IV 
true,13,3209,3074,2044,0,3117,0,3341,5,0,0,0,0,0,4,1,7,96251,9956,14996,0,4101,23,67,60,7,8813,6570,0,0,0,0,0,8639,1316,0,3,772,85458,10021,868,13671,457,true,false,false,true,false,false,0,0,2,0,1,1,1,559,Udyr 
