winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
true,17,3143,3075,3265,3709,3102,3155,3341,5,1,0,0,0,0,3,2,15,196406,16662,43216,0,18209,52,105,95,10,14339,14115,0,0,0,0,5240,9715,1707,1,0,64905,116719,14781,8242,34130,843,false,false,false,false,false,true,0,0,30,1,2,2,1,858 
true,18,3143,3071,1321,3709,3102,3156,3364,11,1,0,0,0,0,3,6,18,233248,26792,57644,0,17745,57,101,66,35,17382,16715,0,0,0,0,7357,16054,3380,2,0,66406,149269,17571,16321,37084,4238,true,false,false,false,false,true,0,1,9,6,2,4,1,1099 
true,17,3143,3156,3075,3111,1055,3067,3341,4,0,0,0,0,0,2,3,10,170889,18317,32647,0,10025,184,29,8,21,12671,11510,0,0,0,0,4482,12542,1291,0,2,20774,141385,8730,15676,16544,427,false,false,false,false,false,false,0,3,12,1,1,1,1,420 
true,17,2049,3143,3709,1319,3075,3065,3364,6,1,0,0,0,0,4,2,18,196104,19596,36871,0,14252,59,98,79,19,14315,12980,0,0,0,0,7302,9719,2575,0,0,70109,111005,14990,8607,27408,856,false,false,false,false,false,false,0,0,26,7,2,1,1,5315 
true,15,3143,2045,3709,3047,3075,1031,3341,5,0,0,0,0,0,2,4,17,146735,16482,31030,0,9991,18,89,72,17,12199,10790,0,0,0,0,7261,7654,1567,1,0,52437,82281,12017,6264,24035,730,true,false,false,false,false,true,0,0,26,7,1,1,1,982 
false,14,2049,3143,3111,3709,3211,0,3341,0,0,0,0,0,0,0,7,7,131307,10736,34105,0,8586,9,84,76,8,9099,8510,0,0,0,0,3642,5426,1667,0,0,46355,72930,12022,12516,21123,465,false,false,false,false,false,false,0,0,28,4,0,0,1,610 
true,16,3143,3047,3709,3065,3075,1011,3341,3,0,0,0,0,0,2,1,14,167761,15426,35532,0,13501,31,90,73,17,12634,12125,0,0,0,0,5168,8723,1535,0,0,57521,99967,10271,9218,24734,1579,false,false,false,false,false,true,1,3,2,1,1,1,1,692 
true,14,2049,3709,3071,3111,3065,1029,3341,5,0,0,0,0,0,3,2,11,141958,13638,27552,0,8979,24,93,75,18,10758,10370,0,0,0,0,3560,8784,1293,0,0,46983,85516,9459,7696,19079,776,false,false,false,false,false,false,0,0,13,1,1,2,1,761 
true,16,3143,3709,2049,3111,3190,1031,3364,2,0,0,0,0,0,0,5,14,146163,10741,34631,0,13841,40,75,58,17,11447,11040,0,0,0,0,3167,6735,838,0,0,51011,82262,12890,8259,25711,660,true,false,false,false,false,false,0,0,26,6,1,0,1,629 
false,15,3143,3047,3065,3709,1031,1029,3364,2,0,0,0,0,0,2,3,5,170006,9756,32124,0,9500,32,105,101,4,10738,10255,0,0,0,0,3503,5162,1089,0,0,64867,92124,13014,6622,24766,735,false,false,false,true,false,false,0,0,7,4,1,1,1,760 
false,11,3709,3111,3044,3067,1028,1029,3340,4,1,0,0,0,0,3,6,3,67459,8429,21411,0,4154,16,44,42,2,6689,6535,0,0,0,0,3110,4659,660,0,0,24919,37783,4756,10317,10882,211,false,false,false,false,false,false,0,0,7,1,2,1,1,206 
false,16,3074,3707,3156,3047,3071,1037,3340,12,1,0,0,0,0,4,11,8,163126,26509,36630,0,7175,45,79,75,4,14106,14160,0,0,0,0,3411,20604,2492,0,0,21230,133869,8026,10458,22713,3458,false,false,false,false,false,false,0,0,12,5,2,3,1,277 
true,15,3077,3143,3047,3707,3071,1037,3341,9,1,0,0,0,0,3,4,9,159506,15350,25096,0,8546,25,94,68,26,12595,12389,0,0,0,0,5392,9168,789,0,0,27107,119492,12905,4626,18766,1703,false,false,false,false,false,true,0,1,7,1,2,3,1,660 
false,8,2049,3709,1028,1001,0,0,3341,1,0,0,0,0,0,0,2,2,41363,4089,14387,0,2711,0,39,37,2,4117,3915,0,0,0,0,1433,2155,500,0,0,11428,26705,3228,4672,9378,336,false,false,false,false,false,false,0,0,6,0,1,0,1,365 
true,14,3077,3709,3071,3083,3111,0,3340,6,0,0,0,0,0,4,2,8,151539,10127,28081,0,9965,29,104,86,18,11264,11240,0,0,0,0,3026,5502,1598,0,0,52413,87231,11894,2875,24552,654,false,false,false,false,false,false,0,0,7,1,1,1,1,746 
false,13,3748,0,3071,3709,0,0,3341,5,1,0,0,0,0,3,4,4,121653,11993,27461,0,6878,5,83,78,5,9064,9725,0,0,0,0,4026,6539,1427,0,0,41076,72335,8241,6931,20081,448,false,false,false,false,false,false,0,0,6,1,2,1,1,560 
false,12,3074,3707,3134,1001,2003,0,3340,1,0,0,0,0,0,0,6,5,106439,9415,20950,0,5283,23,66,59,7,7544,7387,0,0,0,0,2396,6369,650,0,0,16283,82387,7767,8125,12591,234,false,false,false,false,false,false,0,0,8,0,1,0,1,252 
true,13,3143,2049,3111,3709,3211,1031,3341,6,1,1,0,0,0,6,3,8,121411,9178,24104,0,8871,12,84,72,12,10415,9005,0,0,0,0,3850,4477,850,0,0,44611,67413,9386,4972,17904,1226,false,false,false,false,false,false,0,0,16,2,3,1,1,728 
true,18,3748,3143,3742,3065,3026,3075,3364,14,3,0,0,0,0,4,5,23,277859,31906,68184,0,26706,91,102,82,20,22056,24430,0,0,0,0,12593,16462,2850,0,0,102587,156885,18386,29593,33343,5247,false,false,false,false,false,true,1,0,8,6,2,4,1,1255 
true,13,1054,1031,3751,3047,3071,1011,3340,5,1,0,0,0,0,5,0,7,91017,9417,12818,0,5245,144,10,4,6,8588,7500,0,0,0,0,4644,4761,11,1,0,31012,57953,2052,1508,11190,120,true,false,false,false,false,false,0,2,6,1,2,1,1,329 
true,18,3143,1324,3709,3071,3065,3082,3364,8,2,0,0,0,0,3,9,23,196625,28531,66309,0,21792,31,99,87,12,16665,16065,0,0,0,0,10569,14831,3130,0,0,62275,119232,15117,25799,37935,2573,false,false,false,false,false,false,0,1,5,6,2,2,1,822 
true,14,3709,3071,3111,3211,3082,1011,3341,5,0,0,0,0,0,5,1,9,142248,13142,22411,0,10257,39,77,67,10,10771,9890,0,0,0,0,3896,8463,782,0,0,46313,85143,10792,4971,17297,142,false,false,false,false,false,false,0,0,3,1,1,1,1,686 
false,9,3709,3067,1028,0,0,0,3340,0,0,0,0,0,0,0,2,0,51179,3039,11854,0,3000,4,48,45,3,3916,3640,0,0,0,0,1611,1196,231,0,0,18547,27594,5038,2400,9201,251,false,false,false,false,false,false,0,0,3,0,0,0,1,218 
true,17,3143,3071,3211,3111,3709,3075,3341,3,0,0,0,0,0,0,4,13,197016,16207,40740,0,13939,35,102,85,17,14132,13190,0,0,0,0,7389,6926,1891,0,0,67528,115098,14390,7521,32988,230,false,false,false,false,false,false,1,0,3,7,1,0,1,749 
false,13,3709,3071,3047,3082,3211,1011,3341,6,1,0,0,0,0,3,5,3,138790,12262,29901,0,7489,50,78,76,2,9968,9655,0,0,0,0,6923,4583,756,0,0,52695,76314,9780,4780,24517,604,true,false,false,false,false,false,0,0,2,1,2,2,1,508 
true,15,3074,3143,1057,1055,3111,1033,3340,4,0,0,0,0,0,2,7,6,131055,17601,28169,0,5936,160,20,15,5,10046,9205,0,0,0,0,4050,12883,668,0,0,16276,112128,2649,10480,16564,1124,true,false,false,false,false,false,0,1,8,1,1,1,1,369 
true,17,3074,3143,1324,3155,3707,1031,3364,2,0,0,0,0,0,0,8,13,222285,17153,37739,0,8350,34,116,92,24,14271,13420,0,0,0,0,4246,11527,1379,0,0,29637,175368,17279,10656,26381,702,false,false,false,false,false,false,0,1,3,7,1,0,1,648 
true,13,3709,3071,3047,1031,1011,1029,3341,2,0,0,0,0,0,2,0,16,105460,14230,22101,0,8495,28,61,53,8,9423,8540,0,0,0,0,4235,8481,1514,1,0,34360,63642,7457,6987,14576,537,false,false,false,false,false,false,0,0,4,3,1,1,1,540 
false,16,3709,3071,1324,3211,3742,1011,3364,2,0,0,0,0,0,0,8,17,191794,19752,56540,0,17941,24,101,81,20,13076,12300,0,0,0,0,6000,11498,2252,0,0,62856,113717,15220,12641,39440,4458,false,false,false,false,false,false,0,1,3,8,1,0,1,697 
false,6,2049,3706,1036,1001,1028,1028,3340,1,0,0,0,0,0,0,3,0,33917,3223,9931,0,1838,1,33,29,4,3363,3275,0,0,0,0,898,1998,326,0,0,8421,22507,2988,1949,7855,127,false,false,false,false,false,false,0,0,7,0,1,0,1,257 
true,12,3709,3111,3211,3071,1028,1029,3341,5,0,0,0,0,0,5,0,6,115591,10555,22468,0,8117,15,75,59,16,8899,8490,0,0,0,0,3401,5919,1233,0,0,38934,67707,8949,1734,20506,227,false,false,false,false,false,false,0,0,4,0,1,1,1,768 
