winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
true,18,3707,3143,3111,3102,3078,3155,3341,4,0,0,0,0,0,2,4,11,205487,15347,40803,655,13949,46,102,91,11,15360,14548,0,0,0,0,5442,8797,1107,2,1,25027,161731,18728,9590,30829,383,false,false,false,false,false,false,0,2,4,4,1,1,1,859 
true,13,3707,3111,1011,3078,1029,0,3340,3,1,0,0,0,0,2,1,4,133360,5702,23534,619,6694,36,76,64,12,9332,8908,0,0,0,0,2597,2510,595,2,2,16301,104228,12830,5214,18320,0,false,false,false,false,false,false,0,1,10,1,2,1,1,524 
true,16,3707,3143,3078,3047,1033,0,3340,9,1,0,0,0,0,6,6,7,150375,13672,28126,637,9092,49,61,50,11,12137,10478,0,0,0,0,2327,9299,2045,0,0,18246,119043,13086,3864,23432,829,false,false,false,false,false,true,0,1,4,1,2,2,1,413 
true,17,3707,3143,3078,3047,3102,0,3340,5,1,1,0,0,0,3,7,18,168481,20902,38504,637,12946,27,82,63,19,14018,12983,0,0,0,0,4298,13607,2996,1,3,19986,134271,14224,14050,23428,1025,false,false,false,false,false,true,1,3,9,3,3,1,1,595 
true,15,3190,3143,3111,1401,3075,1037,3363,9,0,0,0,0,0,4,6,23,101159,16603,40769,0,15598,30,51,38,13,13699,12875,0,0,0,0,5254,9348,2000,3,0,25171,62013,13975,13025,27073,670,false,false,false,false,false,true,0,1,14,0,1,3,1,741 
false,14,3190,3111,3143,1401,0,0,3363,3,1,0,0,0,0,3,8,8,105194,14206,44648,0,11309,26,69,63,6,10188,9450,0,0,0,0,5313,7361,1531,1,0,26473,66065,12655,13984,29931,733,false,false,false,false,false,false,0,0,11,4,2,1,1,709 
false,13,3190,3082,3111,1401,1028,2043,3363,1,0,0,0,0,0,0,8,10,92248,8349,37434,0,11808,25,64,60,4,9028,8100,0,0,0,0,2490,4827,1030,3,0,22426,57836,11985,15921,20952,561,false,false,false,false,false,false,0,0,13,1,1,0,1,545 
false,18,3190,3748,3009,3742,1401,3053,3363,10,0,0,0,0,0,4,5,11,187212,21597,52065,0,20308,43,107,94,13,16082,15250,0,0,0,0,4678,13969,2950,1,0,38236,126816,22159,17918,32971,1176,false,false,false,false,false,false,0,0,17,3,1,3,1,593 
false,14,1401,3748,3105,3082,3009,0,3340,6,0,0,0,0,0,3,8,8,115466,13981,40885,313,10854,26,62,50,12,10889,9850,0,0,0,0,3678,8525,1776,1,0,29155,73911,12399,8270,31055,1559,true,false,false,false,false,false,0,0,14,2,1,1,1,330 
true,18,1401,3748,3009,3742,3065,3052,3340,5,0,0,0,0,0,5,7,15,209089,20724,57709,0,22488,68,104,86,18,15664,14000,0,0,0,0,3525,15674,1524,1,0,35911,154759,18417,13033,41937,2738,false,false,false,false,false,true,0,2,17,4,1,1,1,622 
false,17,3143,3748,3134,1401,3155,3009,3363,8,1,0,0,0,0,4,7,15,181776,20924,53921,0,15090,57,79,65,14,14250,13550,0,0,0,0,4471,13780,2672,3,0,29455,130511,21809,14281,34131,5509,false,false,false,false,false,false,0,0,18,1,2,2,1,790 
false,18,1401,3748,3143,3009,3065,3052,3340,6,0,0,0,0,0,2,8,16,224409,28182,68865,190,22428,72,99,91,8,15257,14200,0,0,0,0,5636,19251,3294,1,0,37567,165293,21549,25377,42159,1328,false,false,false,false,false,false,0,1,13,4,1,2,1,1143 
true,13,1401,3748,3082,3009,0,0,3340,5,0,0,0,0,0,2,2,7,103263,8262,23080,218,10143,14,84,82,2,9062,8425,0,0,0,0,2124,5574,564,2,0,23396,68644,11222,6251,16084,744,true,false,false,false,false,false,0,0,11,2,1,2,1,402 
true,17,1401,3748,3143,3211,3009,1028,3340,1,0,0,0,0,0,0,1,10,188272,15471,41442,236,24279,51,106,73,33,13770,11700,0,0,0,0,4448,8663,2360,1,0,33455,139456,15361,17570,22610,1262,false,false,false,false,false,false,0,0,15,1,1,0,1,576 
false,15,1413,3143,3111,3065,3075,0,3363,11,1,0,0,0,0,5,8,11,124906,16011,47468,0,13897,40,73,56,17,13463,12150,0,0,0,0,5819,8558,1633,1,0,34409,74391,16105,13647,28047,5772,true,false,false,false,false,false,0,0,11,6,2,4,1,856 
