winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
true,17,3020,3157,3135,3285,3165,1056,3340,14,2,1,0,0,0,11,5,9,153465,29599,21138,0,5057,189,6,6,0,14504,12720,0,0,0,0,20442,2150,7006,1,1,93433,22805,37226,3231,17871,35,false,false,false,false,false,true,0,2,10,0,3,2,1,156 
false,15,1056,3165,3089,3020,3285,0,3341,6,1,0,0,0,0,6,1,2,141238,15655,14190,0,3509,224,2,2,0,11315,10570,0,0,0,0,11656,814,3184,2,0,87132,21429,32677,8172,6018,0,false,false,false,false,false,false,0,0,10,0,2,1,1,56 
true,16,3165,3020,3089,1056,3285,0,3340,9,0,0,0,0,0,2,6,6,125358,22187,22290,0,2863,180,2,0,2,12503,10865,0,0,0,0,15319,2365,4502,1,2,72679,23349,29328,16643,5646,0,false,false,false,false,false,true,0,1,7,1,1,3,1,72 
false,13,1056,3165,3020,3089,0,0,3340,5,0,0,0,0,0,2,4,3,62910,9108,13548,0,1599,118,2,2,0,7466,7405,0,0,0,0,6531,809,1766,0,0,34018,12814,16078,4147,9047,353,false,false,false,false,false,false,0,0,1,0,1,2,1,27 
false,7,1056,3108,1052,0,0,0,3340,0,0,0,0,0,0,0,1,1,14521,2126,2883,0,253,31,0,0,0,3199,1760,0,0,0,0,930,443,751,0,0,5480,5912,3127,296,2467,120,false,false,false,false,false,false,0,0,0,0,0,0,1,6 
true,17,1056,3285,3020,3165,3089,0,3340,7,0,0,0,0,0,2,7,8,154048,18655,17304,0,2641,191,10,10,0,12271,10475,0,0,0,0,12868,1878,3908,0,0,92956,26171,34920,3503,13296,504,false,false,false,false,false,false,0,1,3,0,1,2,1,74 
true,17,1056,3157,3020,3165,3151,3057,3340,6,1,0,0,0,0,2,8,10,156736,19443,23095,0,4301,212,8,6,2,12920,11275,0,0,0,0,12659,2121,4662,1,0,95849,18613,42273,7780,14329,985,true,false,false,false,false,false,0,0,2,0,2,1,1,58 
false,12,1056,3165,3020,3113,1058,0,3340,3,0,0,0,0,0,2,4,2,70784,10965,10189,0,946,117,0,0,0,6920,6175,0,0,0,0,5975,864,4125,1,0,37134,11751,21899,5059,4005,1124,false,false,false,true,false,false,0,0,2,1,1,1,1,28 
false,14,1056,3113,1056,3020,3165,1058,3340,2,0,0,0,0,0,0,7,5,75408,10335,14907,0,1405,129,1,1,0,7688,6510,0,0,0,0,6051,899,3384,0,0,42629,11933,20845,9295,5294,317,false,false,false,false,false,false,0,0,0,1,1,0,1,25 
false,18,1056,3285,3165,3020,3151,1058,3340,8,1,0,0,0,0,3,5,7,175272,29316,24492,0,3623,198,8,7,1,12771,11225,0,0,0,0,23367,1141,4806,0,0,118843,14825,41602,13734,10322,435,false,false,false,false,false,false,0,1,5,2,2,2,1,51 
false,18,1056,3020,3165,3285,3089,3135,3361,7,1,0,0,0,0,3,4,11,250044,33745,28787,0,6580,267,12,12,0,14656,13390,0,0,0,0,21564,1392,10788,2,0,163179,19118,67746,15177,12961,647,true,false,false,false,false,false,0,0,13,2,2,3,1,75 
false,13,1056,3020,3165,3285,0,0,3340,3,0,0,0,0,0,0,3,3,91189,10743,11418,0,1978,135,6,5,1,7536,7040,0,0,0,0,6918,575,3249,1,0,52209,12178,26802,5635,5719,64,false,false,false,false,false,false,0,0,8,0,1,0,1,25 
false,15,1026,3157,3092,1056,3165,3020,3363,6,1,0,0,0,0,3,6,19,93757,18720,17519,0,3653,94,17,10,7,13887,11375,0,0,0,0,12181,1920,4619,1,0,51156,17272,25327,7414,9657,448,true,false,false,false,false,false,0,3,13,1,2,2,1,57 
false,12,1056,3092,3157,3020,3108,0,3363,5,1,0,0,0,0,2,5,8,77380,12052,11855,0,1765,111,5,5,0,9165,8150,0,0,0,0,7904,1404,2743,0,0,41436,11846,24097,5713,5734,408,false,false,false,false,false,false,0,0,5,1,2,2,1,73 
false,18,3092,3157,3020,3165,3285,3001,3363,11,0,0,0,0,0,5,6,21,232161,37757,29894,0,10069,227,24,16,8,20014,15875,0,0,0,0,27161,2506,8088,3,0,148759,29328,54073,8835,19140,1918,false,false,false,false,false,true,0,0,16,6,1,3,1,140 
false,15,3092,3285,3020,1058,3191,0,3363,1,0,0,0,0,0,0,7,9,113984,11057,19235,0,2259,159,2,2,0,10038,9350,0,0,0,0,7847,580,2629,2,0,65809,18017,30157,13633,5011,590,false,false,false,false,false,false,0,0,11,1,1,0,1,48 
true,15,1056,3092,1058,3020,3285,3001,3363,14,3,0,0,0,0,6,4,9,126777,21030,11032,0,2159,156,6,2,4,13322,10725,0,0,0,0,15331,1319,4379,1,0,76971,22605,27200,4429,6239,364,false,false,true,false,false,true,0,1,8,2,2,2,1,102 
false,13,1056,3165,3020,3285,0,0,3363,2,0,0,0,0,0,0,4,2,91692,11247,14460,0,1214,148,1,1,0,8138,7650,0,0,0,0,7872,490,2884,2,0,53946,12169,25576,9758,4657,44,false,false,false,false,false,false,0,0,12,1,1,0,1,29 
false,13,1056,3165,3020,3285,0,0,3363,2,0,0,0,0,0,0,4,2,91692,11247,14460,0,1214,148,1,1,0,8138,7650,0,0,0,0,7872,490,2884,2,0,53946,12169,25576,9758,4657,44,false,false,false,false,false,false,0,0,12,1,1,0,1,29 
false,12,1056,3092,3158,3285,0,0,3340,2,0,0,0,0,0,2,2,1,69499,7726,9215,0,1593,131,4,4,0,7250,6750,0,0,0,0,4483,650,2591,0,0,37354,13274,18869,1570,7051,594,false,false,false,false,false,false,0,0,5,0,1,1,1,47 
false,16,1056,3020,3285,3001,1058,1026,3340,4,0,0,0,0,0,3,5,9,133461,19742,18873,0,3767,194,10,10,0,11314,9425,0,0,0,0,16132,709,2900,1,0,89497,13458,30505,8446,9648,778,false,false,false,false,false,false,0,0,10,2,1,1,1,36 
true,15,1056,3157,1056,3020,3285,1058,3340,3,0,0,0,0,0,2,2,6,135833,15575,13750,0,5010,165,13,10,3,11147,10150,0,0,0,0,11144,790,3640,0,0,77644,23128,35060,8040,4804,905,false,false,true,false,false,false,2,1,10,0,1,1,1,34 
true,15,1056,3285,3020,3089,3135,0,3340,8,0,0,0,0,0,3,4,9,122482,21668,14935,0,3251,151,12,9,3,12319,11425,0,0,0,0,16927,1154,3586,1,0,74024,20310,28147,7482,7236,216,false,false,false,false,false,false,0,2,8,0,1,2,1,50 
true,13,1056,0,3020,3285,1058,1026,3363,5,0,0,0,0,0,5,0,3,86530,10580,7610,0,1817,146,1,1,0,8464,7275,0,0,0,0,7548,855,2175,1,0,49277,14324,22928,4539,3071,0,false,false,true,false,false,false,0,2,9,2,1,1,1,27 
true,14,1056,3285,3020,1056,3089,0,3340,7,0,0,0,0,0,5,1,3,124268,13568,12795,0,3281,148,11,11,0,10518,9325,0,0,0,0,9506,1290,2770,1,0,69006,28433,26828,3032,9667,96,false,false,false,false,false,true,0,2,8,1,1,2,1,61 
false,18,1056,3285,1026,3020,3089,3001,3363,7,0,0,0,0,0,4,11,5,196776,28587,29321,0,5126,235,4,4,0,14183,12400,0,0,0,0,22723,1386,4477,0,0,130204,14627,51943,19416,8881,1023,false,false,false,false,false,false,0,1,15,3,1,1,1,81 
true,16,1056,3157,3020,3089,3285,0,3340,13,5,0,0,0,0,5,3,10,146848,27469,14134,0,2692,169,8,4,4,14103,12600,0,0,0,0,18679,2001,6788,0,0,78575,34759,33513,2653,11066,414,false,false,true,false,false,false,0,3,6,1,2,4,1,201 
true,17,1058,3285,3165,1056,3020,3135,3340,5,1,0,0,0,0,5,2,10,216992,41461,18537,0,6293,220,10,5,5,14540,11675,0,0,0,0,29845,2042,9573,1,0,135196,31528,50266,5840,11842,854,false,false,false,false,false,true,0,0,18,1,2,1,1,76 
true,13,1056,3285,1056,3020,0,0,3340,6,1,0,0,0,0,6,0,7,85485,12275,7297,0,1988,121,2,2,0,8463,5425,0,0,0,0,8022,1788,2464,1,0,45093,18346,22045,431,6597,269,false,false,true,false,false,false,0,2,9,1,2,1,1,16 
