winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
true,11,1056,1058,3128,1001,2003,2004,3340,4,0,0,0,0,0,4,1,0,58877,5632,3522,0,1170,113,0,0,0,6903,5780,0,0,0,0,2741,841,2049,0,1,23199,18782,16895,164,3357,0,true,false,false,false,false,true,0,3,3,0,1,1,1,4 
true,18,3020,1058,3128,1056,3135,3089,3341,12,2,2,0,0,0,4,6,6,176264,39553,18964,0,3930,220,13,9,4,15512,12690,0,0,0,0,28201,2260,9091,0,4,101849,19067,55347,4524,13926,514,false,false,false,false,false,false,0,1,5,7,3,3,1,21 
true,17,1056,3089,3128,3020,1058,3135,3341,11,1,1,0,0,0,4,7,5,158662,29255,21484,0,4111,220,6,3,3,14031,12650,0,0,0,0,20502,646,8106,0,0,94937,15326,48399,9481,9677,2325,false,false,false,false,false,false,0,2,1,2,3,3,1,19 
true,16,3089,1058,3128,1056,3020,3135,3340,10,0,0,0,0,0,4,4,17,144853,28983,20058,0,4658,174,21,13,8,13628,12110,0,0,0,0,20758,1437,6786,0,0,89108,13828,41917,11309,8547,202,false,false,false,false,false,false,0,0,7,1,1,3,1,80 
false,18,3089,3157,3128,3100,3020,3135,3341,13,2,0,0,0,0,5,13,7,226177,35389,31409,0,3652,277,10,9,1,17938,17410,0,0,0,0,25712,1262,8414,0,0,133353,19280,73544,21746,8282,1380,false,false,false,false,false,false,0,1,5,1,2,3,1,49 
false,12,1056,1026,3128,1001,0,0,3340,2,0,0,0,0,0,0,7,2,62885,6250,12682,0,1210,138,4,4,0,6332,5185,0,0,0,0,4237,882,1130,0,2,32226,10068,20590,7790,4240,652,false,false,false,false,false,false,0,0,6,0,1,0,1,3 
false,15,1056,3089,3128,1056,3020,0,3341,4,0,0,0,0,0,2,11,6,92655,10123,26184,0,1908,167,4,4,0,9815,9045,0,0,0,0,7036,906,2180,0,2,51744,9595,31315,11970,13380,833,false,false,false,false,false,false,0,0,4,1,1,1,1,15 
false,15,1056,3089,3128,1026,3020,1052,3340,3,1,0,0,0,0,2,8,4,100372,15430,16658,0,1904,195,4,4,0,9730,9580,0,0,0,0,10695,1653,3082,0,0,54933,10925,34513,6648,9549,461,false,false,false,false,false,false,0,1,9,1,2,1,1,11 
true,18,3113,3157,3128,3020,3135,3089,3341,10,1,1,0,0,0,4,8,9,188758,31503,25607,0,3619,254,15,15,0,17280,14795,0,0,0,0,23299,1487,6717,0,1,117554,16776,54426,9452,14562,1593,false,false,false,false,false,false,0,0,3,1,3,2,1,42 
true,17,1056,3157,3128,3020,3089,1026,3341,20,3,1,0,0,0,6,5,9,144777,35140,19571,0,4358,182,7,6,1,15826,12400,0,0,0,0,25947,1711,7481,1,0,85139,19632,40005,8369,10428,774,false,false,true,false,false,false,1,2,1,3,3,5,1,86 
true,14,1056,3157,3128,1001,1026,1058,3341,5,2,0,0,0,0,3,4,11,95130,19123,13088,0,2154,177,3,0,3,10706,9970,0,0,0,0,12868,1781,4473,0,0,52833,17048,25249,3213,9641,234,false,false,false,false,false,false,1,1,3,0,2,2,1,23 
true,17,1056,3157,3128,3089,3020,3135,3341,14,2,1,0,0,0,6,5,16,170728,36391,24986,0,5748,194,2,2,0,16044,14050,0,0,0,0,24643,3449,8298,1,0,99363,22153,49211,7127,16736,1122,true,false,false,false,false,true,0,2,2,1,3,3,1,58 
true,18,3100,3157,3128,3258,3135,3089,3341,21,2,0,0,0,0,9,6,7,249123,39876,23224,0,5865,303,5,5,0,19775,17615,0,0,0,0,28497,2688,8690,0,0,150075,30891,68155,12100,10407,716,false,false,true,false,true,false,1,5,0,0,2,5,1,50 
