winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
true,13,3009,1036,1408,3812,1028,0,3364,9,0,0,0,0,0,6,2,4,103586,12505,15272,0,5804,16,79,59,20,9929,8000,0,0,0,0,1840,10357,308,1,0,4479,89456,9650,3742,11153,376,false,false,false,false,false,true,0,2,13,2,1,2,1,412 
true,18,3077,3812,1408,3742,3071,3009,3364,10,2,1,0,0,0,6,8,10,261440,29835,39283,0,17721,73,127,100,27,17223,15025,0,0,0,0,3316,25889,630,3,0,6816,231329,23294,6429,26520,6333,true,false,false,false,true,false,1,0,24,5,3,2,1,893 
true,15,3111,3812,1408,3071,1028,1029,3364,8,1,0,0,0,0,3,6,1,184862,16810,28398,0,11519,71,107,82,25,12281,11325,0,0,0,0,2073,14358,378,2,0,5107,160388,19366,6140,20670,1586,false,false,false,false,false,false,0,0,23,2,2,3,1,576 
true,15,3111,3812,1408,3071,1028,1029,3364,8,1,0,0,0,0,3,6,1,184862,16810,28398,0,11519,71,107,82,25,12281,11325,0,0,0,0,2073,14358,378,2,0,5107,160388,19366,6140,20670,1586,false,false,false,false,false,false,0,0,23,2,2,3,1,576 
true,16,3812,3071,1408,3111,3742,3052,3364,10,0,0,0,0,0,6,3,3,194927,16135,30524,0,14280,60,116,80,36,14833,14650,0,0,0,0,2320,13711,104,1,0,6203,173457,15266,5863,22051,2608,false,false,false,false,false,false,0,0,16,8,1,2,1,594 
true,16,3812,3071,1408,3111,3742,3052,3364,10,0,0,0,0,0,6,3,3,194927,16135,30524,0,14280,60,116,80,36,14833,14650,0,0,0,0,2320,13711,104,1,0,6203,173457,15266,5863,22051,2608,false,false,false,false,false,false,0,0,16,8,1,2,1,594 
false,16,1029,3812,1408,1011,3009,3071,3364,7,2,0,0,0,0,2,10,4,171134,15193,31011,0,9793,63,86,71,15,11830,11725,0,0,0,0,3422,11537,234,2,0,9699,142417,19018,7067,21657,2286,false,false,false,false,false,false,0,0,23,6,2,3,1,460 
true,18,3047,3071,1408,3812,3742,1031,3364,9,1,0,0,0,0,5,6,8,269942,26011,40239,0,17694,63,141,119,22,16791,14325,0,0,0,0,3341,21852,818,4,0,7820,241588,20534,6610,30292,3337,false,false,false,false,false,false,1,0,28,8,2,2,1,863 
false,18,3074,3742,1408,3047,3071,3812,3364,18,2,0,0,0,0,11,7,12,308719,49748,54866,0,25074,87,142,110,32,20404,21475,0,0,0,0,6051,41971,1725,4,0,15098,266563,27057,11679,34583,8602,false,false,false,false,false,false,0,1,28,7,2,3,1,910 
true,18,3071,3047,1408,3742,3053,3812,3364,13,2,1,0,0,0,4,8,5,285670,37294,52152,0,22974,70,135,100,35,18834,17375,0,0,0,0,4904,31928,462,4,0,9350,251924,24396,10375,34160,7616,false,false,true,false,false,false,0,2,30,9,3,4,1,761 
false,18,3742,3812,1408,3071,3111,3102,3364,10,1,0,0,0,0,3,7,7,300470,22473,52563,0,21767,80,147,107,40,18774,17475,0,0,0,0,2857,19100,515,2,0,12681,262393,25395,14579,31114,6869,false,false,false,false,false,false,0,0,35,6,2,3,1,844 
false,18,3053,3071,1408,3812,3742,3026,3364,7,1,1,0,0,0,3,8,8,398332,30085,63388,0,30964,143,154,118,36,21453,23732,0,0,0,0,3613,25973,498,3,0,9137,357052,32142,13055,43312,7020,false,false,false,false,false,false,0,1,41,11,3,1,1,1167 
true,17,3074,3071,1408,3812,3111,1031,3364,12,2,0,0,0,0,8,2,6,232594,23361,30738,0,16152,74,125,110,15,15719,15000,0,0,0,0,3500,19860,0,3,0,6821,212896,12876,4398,21893,4446,true,false,false,false,false,true,0,1,19,5,2,2,1,560 
