winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
true,17,3142,3158,3046,3087,3031,1412,3364,23,6,3,0,0,0,7,6,8,235641,37866,27932,1180,10569,75,102,82,20,19169,28577,0,0,0,0,5803,31070,992,2,0,35084,191778,8778,6021,20690,1220,false,false,false,true,false,false,0,1,6,1,3,5,1,524 
true,18,3152,3089,3157,3135,1414,3100,3364,10,0,0,0,0,0,3,9,8,398678,40088,55866,0,20544,134,169,145,24,22797,21025,0,0,0,0,34609,4208,1271,4,0,288806,88642,21229,17052,36672,2142,false,false,false,false,false,false,1,0,10,8,1,4,1,871 
true,18,3152,3100,3089,3135,3285,3158,3364,27,4,1,1,1,0,10,8,9,406904,57355,51975,1420,17921,96,163,134,29,26189,39463,0,0,0,0,16835,38633,1886,3,0,82668,293736,30499,8389,35899,7686,false,false,false,false,false,false,1,1,8,7,5,5,1,1113 
true,18,3152,1414,3157,3100,3089,3135,3364,19,2,2,0,0,0,6,7,7,266765,47448,39554,0,13888,107,106,81,25,19565,19300,0,0,0,0,38333,6945,2169,1,0,186909,63508,16347,6051,31576,1927,false,false,false,true,false,true,0,1,8,2,3,4,1,530 
true,18,3142,3087,3031,3158,3046,1412,3364,15,2,0,0,0,0,5,7,8,308243,38605,41395,1450,15035,74,140,111,29,19936,16350,0,0,0,0,8410,27292,2902,3,0,57513,229672,21057,6010,32439,2946,false,false,false,false,false,false,0,0,8,3,2,4,1,983 
true,18,3142,3087,3046,3158,1038,1412,3364,13,0,0,0,0,0,9,2,4,273943,24992,27897,911,13320,99,127,82,45,16610,13400,0,0,0,0,5560,18477,954,1,0,39431,216595,17916,6018,21686,192,true,false,false,false,false,false,0,0,5,5,1,2,1,1056 
false,15,3142,3046,1051,2015,1412,3158,3364,6,1,0,0,0,0,2,6,2,161713,14401,25789,701,9255,56,102,88,14,11446,10875,0,0,0,0,2521,10664,1216,4,0,13609,136951,11153,3437,21649,702,false,false,false,false,false,false,0,0,9,3,2,3,1,789 
true,18,3142,3046,3078,1412,3087,3031,3364,19,4,0,0,0,0,5,8,10,309240,43180,35514,1339,11685,112,123,90,33,20312,20563,0,0,0,0,9534,31484,2162,2,0,60869,229380,18991,6695,26953,1865,false,false,false,false,true,false,1,0,5,7,2,5,1,1231 
true,18,3142,3046,1412,3087,3158,3031,3364,16,4,0,0,0,0,10,5,5,256025,31651,31881,929,13533,62,128,104,24,18014,15775,0,0,0,0,5439,24361,1850,2,0,40172,198908,16945,6343,24738,800,false,false,false,false,false,false,1,1,9,8,2,3,1,947 
true,18,3152,1414,3157,3089,3100,3135,3364,10,1,0,0,0,0,6,4,14,330122,54451,44754,0,21645,84,162,129,33,20157,22590,0,0,0,0,45279,5829,3342,3,0,222428,89010,18685,10663,33196,894,true,false,false,false,true,false,1,1,8,8,2,2,1,719 
